horizon,persist_rel_l2,official_cno_rel_l2,p0a_cno_rel_l2,plain_piv_cno_rel_l2
1,0.03999733924865723,3.225062131881714,0.10070298612117767,0.18031978607177734
2,0.06831873953342438,3.447875738143921,0.09075646847486496,0.16481506824493408
3,0.09181753545999527,3.2234838008880615,0.09215829521417618,0.15574316680431366
4,0.11049123853445053,3.0231499671936035,0.08965542912483215,0.15075750648975372
5,0.12190745770931244,2.971278190612793,0.09088211506605148,0.15339411795139313
6,0.13012543320655823,2.9456069469451904,0.09504161030054092,0.15526865422725677
7,0.1363021582365036,2.9551732540130615,0.0975683182477951,0.15703155100345612
8,0.14072470366954803,2.979107618331909,0.0991831049323082,0.15876474976539612
9,0.14360155165195465,2.989245891571045,0.10221940279006958,0.1594492793083191
10,0.145257830619812,3.0022833347320557,0.10504882037639618,0.16040851175785065
11,0.1463068127632141,3.0600244998931885,0.10844170302152634,0.16179119050502777
12,0.14695049822330475,3.1554393768310547,0.11108020693063736,0.16325272619724274
13,0.14751894772052765,3.160543441772461,0.11278172582387924,0.16446860134601593
14,0.14818747341632843,2.9360544681549072,0.11355321109294891,0.1659395396709442
15,0.14889609813690186,2.5507612228393555,0.11464022845029831,0.1664031445980072
16,0.14971472322940826,2.1936991214752197,0.1172509640455246,0.16711688041687012
17,0.15072496235370636,1.912699580192566,0.12190144509077072,0.1650250256061554
18,0.15186531841754913,2.0420737266540527,0.11934058368206024,0.17068414390087128
19,0.15287980437278748,2.2883212566375732,0.15308243036270142,0.1849062293767929
20,0.15355750918388367,1.7665892839431763,0.17540927231311798,0.24056078493595123
